food_and_serving, calories, caloriesefrom_fat, total_fat_g, total_fat_dv, sodium_g, sodium_dv, potassium_g, potassium_dv, total_carbo_hydrate_g, total_carbo_hydrate_dv, dietary_fiber_g, dietary_fiber_dv, sugars_g, protein_g, vitamin_a_dv, vitamin_c_dv, calcium_dv, eeironee_dv, saturated_fat_dv, saturated_fat_mg_e, chole_sterol_dv, chole_sterol_mg_e, 
peach, 60, 0, 0.5, 1, 0, 0, 230, 7, 15, 5, 2, 8, 13, 1, 6, 15, 0, 2, 0, 0, 0, 0, 
pear, 100, 0, 0, 0, 0, 0, 190, 5, 26, 9, 6, 24, 16, 1, 0, 10, 2, 0, 0, 0, 0, 0, 
pineapple, 50, 0, 0, 0, 10, 0, 120, 3, 13, 4, 1, 4, 10, 1, 2, 50, 2, 2, 0, 0, 0, 0, 
plums, 70, 0, 0, 0, 0, 0, 230, 7, 19, 6, 2, 8, 16, 1, 8, 10, 0, 2, 0, 0, 0, 0, 
pollock, 90, 10, 1, 2, 110, 5, 370, 11, 0, 0, 0, 0, 0, 20, 2, 0, 0, 2, 0, 0, 80, 27, 
potato, 110, 0, 0, 0, 0, 0, 620, 18, 26, 9, 2, 8, 1, 3, 0, 45, 2, 6, 0, 0, 0, 0, 
radishes, 10, 0, 0, 0, 55, 2, 190, 5, 3, 1, 1, 4, 2, 0, 0, 30, 2, 2, 0, 0, 0, 0, 
rainbowtrout, 140, 50, 6, 9, 35, 1, 370, 11, 0, 0, 0, 0, 0, 20, 4, 4, 8, 2, 2, 10, 55, 18, 
rockfish, 110, 15, 2, 3, 70, 3, 440, 13, 0, 0, 0, 0, 0, 21, 4, 0, 2, 2, 0, 0, 40, 13, 
salmonatlanticcohosockeyechinook, 200, 90, 10, 15, 55, 2, 430, 12, 0, 0, 0, 0, 0, 24, 4, 4, 2, 2, 2, 10, 70, 23, 
salmonechumpink, 130, 40, 4, 6, 65, 3, 420, 12, 0, 0, 0, 0, 0, 22, 2, 0, 2, 4, 1, 5, 70, 23, 
scallops, 140, 10, 1, 2, 310, 13, 430, 12, 5, 2, 0, 0, 0, 27, 2, 0, 4, 14, 0, 0, 65, 22, 
shrimp, 100, 10, 1.5, 2, 240, 10, 220, 6, 0, 0, 0, 0, 0, 21, 4, 4, 6, 10, 0, 0, 170, 57, 
strawberries, 50, 0, 0, 0, 0, 0, 170, 5, 11, 4, 2, 8, 8, 1, 0, 160, 2, 2, 0, 0, 0, 0, 
summeresquash, 20, 0, 0, 0, 0, 0, 260, 7, 4, 1, 2, 8, 2, 1, 6, 30, 2, 2, 0, 0, 0, 0, 
sweetcorn, 90, 20, 2.5, 4, 0, 0, 250, 7, 18, 6, 2, 8, 5, 4, 2, 10, 0, 2, 0, 0, 0, 0, 
sweetecherries, 100, 0, 0, 0, 0, 0, 350, 10, 26, 9, 1, 4, 16, 1, 2, 15, 2, 2, 0, 0, 0, 0, 
sweetpotato, 100, 0, 0, 0, 70, 3, 440, 13, 23, 8, 4, 16, 7, 2, 120, 30, 4, 4, 0, 0, 0, 0, 
swordfish, 120, 50, 6, 9, 100, 4, 310, 9, 0, 0, 0, 0, 0, 16, 2, 2, 0, 6, 1.5, 8, 40, 13, 
tangerine, 50, 0, 0, 0, 0, 0, 160, 5, 13, 4, 2, 8, 9, 1, 6, 45, 4, 0, 0, 0, 0, 0, 
tilapia, 110, 20, 2.5, 4, 30, 1, 360, 10, 0, 0, 0, 0, 0, 22, 0, 2, 0, 2, 1, 5, 75, 25, 
tomato, 25, 0, 0, 0, 20, 1, 340, 10, 5, 2, 1, 4, 3, 1, 20, 40, 2, 4, 0, 0, 0, 0, 
tuna, 130, 15, 1.5, 2, 40, 2, 480, 14, 0, 0, 0, 0, 0, 26, 2, 2, 2, 4, 0, 0, 50, 17, 
watermelon, 80, 0, 0, 0, 0, 0, 270, 8, 21, 7, 1, 4, 20, 1, 30, 25, 2, 4, 0, 0, 0, 0, 
